# Frequency of Words Appearing in 4 Years of the Mainichi Newspaper.
# This file was produced by Charles Kelly (September 24-26, 2003)
# http://aitech.ac.jp/~ckelly/
#
# This file recalculates the word frequency counts in
# Alexandre Girardi's "wordfreq" file. (1998)
#
# This is what I did.
# The counts for the various forms of the same word were merged.
# Certain words/items were removed: numbers, English and romaji,
# punctuation, phrases ending in the particle "wo", lines beginning with
# "n" or the particle "wo."
# Then the file was sorted by "the count."
#
# The most fequently used word was used 3,711,420 times.
#    592 words were used more than 10,000 times.
#  5,039 words were used more than 1,000 times.
#  7,654 words were used more than 500 times.
# 19,602 words were used more than 100 times.
# 26,813 words were used more than 50 times.
# 38,389 words were used more than 20 times.
#
# The data contains 142,298 lines in the following format.
# The Word + TAB + The Count

かかる	12882
最近	12818
総裁	12796
まま	12782
通り	12768
系	12763
放送	12758
連合	12756
要求	12747
渡辺	12733
新聞	12725
し	12714
行く	12697
責任	12686
地方	12644
型	12591
四月	12584
実現	12570
代	12562
全体	12559
文化	12535
仕事	12480
来る	12475
学校	12444
日米	12416
進む	12413
店	12398
動き	12344
条約	12337
被告	12333
まだ	12332
評価	12329
拡大	12325
利用	12300
一般	12286
関係者	12237
経営	12211
運動	12208
官	12196
いま	12194
長官	12188
正	12170
市民	12165
発言	12100
相	12099
同日	12083
共同	12069
ドイツ	12069
うえ	12036
向ける	11998
センター	11991
変わる	11984
すべて	11980
感	11967
際	11927
共和国	11847
報告	11841
時半	11837
末	11820
与党	11816
ばかり	11796
生産	11722
少ない	11721
六月	11710
連続	11699
とる	11696
用	11658
高	11639
投資	11635
ここ	11591
気	11565
書く	11536
業界	11476
朝	11435
取引	11393
施設	11370
号	11367
解決	11362
学生	11358
議会	11355
逮捕	11314
家族	11313
与える	11302
確認	11275
新た	11253
状態	11242
記録	11232
呼ぶ	11222
島	11218
程度	11215
生	11174
すでに	11148
入れる	11147
北	11133
憲法	11096
に対して	11091
開催	11086
捜査	11046
策	11024
局	11019
毎日	10993
提案	10989
軍事	10973
残る	10947
三月	10947
ほしい	10946
国家	10930
連邦	10928
心	10920
竹下	10914
報道	10908
に関する	10900
ただ	10895
妻	10894
姿	10884
海外	10862
人間	10861
な	10857
山	10853
同社	10847
意味	10816
厳しい	10797
まとめる	10795
費	10786
州	10767
見通し	10735
総	10703
京都	10698
南	10657
都市	10653
今月	10622
調整	10619
個人	10618
提出	10618
金丸	10594
比	10569
感じる	10551
株	10551
立場	10549
違う	10534
管理	10521
だが	10520
訪問	10515
援助	10490
規制	10488
輸入	10463
展開	10436
見せる	10425
七月	10395
男性	10391
こうした	10391
体制	10386
早い	10382
伝える	10366
基本	10354
最後	10354
ほとんど	10335
加える	10334
つく	10303
それぞれ	10302
九月	10284
比べる	10284
花	10271
そして	10265
委	10255
内閣	10241
その後	10237
重要	10232
来年	10211
決まる	10207
政党	10197
女子	10172
再	10165
湾岸	10162
連	10160
幹事	10142
十月	10122
立つ	10118
額	10078
増	10068
名	10058
倍	10056
措置	10047
小沢	10044
とき	10035
導入	10023
権	10014
いずれ	9978
高校	9973
連立	9970
最も	9957
量	9948
野党	9933
人気	9932
平均	9928
過去	9916
含める	9913
五月	9886
自然	9886
事実	9875
死去	9861
終わる	9855
相手	9835
小	9796
体	9762
投票	9758
わかる	9749
金融	9734
紙	9734
駅	9728
宣言	9704
イスラエル	9701
努力	9693
自動車	9677
雄	9638
音楽	9626
予想	9615
所	9604
勢力	9594
カ国	9585
細川	9564
コメ	9546
超える	9530
番	9526
強化	9522
見える	9505
葬儀	9493
外交	9490
回復	9485
トップ	9466
保護	9461
要請	9428
患者	9426
メーカー	9420
非	9404
選ぶ	9394
横浜	9385
出場	9346
市内	9341
勝	9332
書	9316
訴える	9296
かも	9283
通信	9282
いえる	9274
線	9269
起きる	9264
自衛隊	9260
一日	9257
カンボジア	9245
以降	9242
モスクワ	9225
ワシントン	9225
野球	9219
前年	9212
迎える	9187
事故	9138
夏	9101
改正	9081
物	9066
あと	9056
歴史	9053
一月	9040
顔	9026
時期	9015
産業	8991
担当	8987
十分	8980
民間	8971
センチ	8969
和平	8947
図る	8937
頭	8935
月	8928
作業	8928
知事	8905
最終	8890
推進	8874
入り	8872
出身	8844
論	8841
調べ	8841
どこ	8823
設置	8823
件	8801
見方	8800
期	8799
違反	8798
総合	8792
成立	8761
外	8752
注目	8729
客	8715
合わせる	8703
住宅	8692
ホテル	8681
システム	8677
行動	8673
プロ	8671
組	8668
美	8651
八月	8637
はず	8615
五輪	8590
医療	8589
攻撃	8587
課題	8566
大蔵省	8563
業者	8549
行政	8526
大手	8509
記事	8507
まず	8504
理解	8497
により	8482
住民	8470
置く	8468
安全	8458
開始	8433
目標	8423
公開	8409
しれる	8408
就任	8408
同時	8403
条件	8372
急	8369
金利	8364
目的	8362
地球	8359
そこ	8358
特に	8327
外務省	8324
第一	8300
十一月	8282
二月	8277
難しい	8258
危機	8243
十二月	8233
出席	8230
輸出	8212
タイ	8202
死亡	8200
集める	8194
安保	8194
でる	8190
外国	8183
戦後	8166
使用	8134
番組	8120
サミット	8113
光	8104
基準	8095
三人	8081
民族	8076
問う	8048
存在	8037
分野	8031
削減	8027
死	8018
緊急	8010
人口	8004
喪主	8000
商品	8000
政治家	7991
統一	7977
若い	7970
書記	7970
働く	7963
原因	7940
処理	7936
当局	7932
変化	7927
北海道	7925
協定	7910
安定	7905
場所	7895
生きる	7893
筋	7890
部分	7890
伴う	7883
らしい	7841
判決	7824
可能	7821
以外	7814
融資	7807
そんな	7799
役	7797
含む	7791
意識	7790
期間	7778
空港	7777
方法	7772
差	7769
告別	7764
つつ	7761
質問	7752
品	7750
土地	7746
民	7731
加盟	7722
将来	7721
描く	7719
信	7706
地元	7698
答える	7697
守る	7694
一番	7673
発売	7666
海	7647
機構	7644
閣僚	7634
アメリカ	7633
ほぼ	7625
右	7608
本社	7602
独立	7597
西	7582
フランス	7580
事務所	7578
応じる	7569
記念	7565
農業	7561
鈴木	7548
何	7543
ご	7519
じゃ	7516
気持ち	7499
生まれる	7493
占める	7479
テーマ	7465
希望	7460
近い	7459
共産党	7456
他	7456
残す	7442
羽田	7438
決議	7421
両国	7397
仏	7394
成長	7394
つくる	7383
拒否	7361
負担	7347
周辺	7342
総会	7340
表現	7338
昭和	7337
同市	7333
段階	7323
日夜	7316
認識	7289
ニューヨーク	7283
挙げる	7281
送る	7248
不足	7242
室	7238
年代	7224
広島	7208
秋	7206
効果	7199
種	7196
契約	7196
舞台	7194
といった	7185
スタート	7177
悪い	7177
直接	7177
従来	7161
ケース	7157
新宿	7149
って	7146
家庭	7143
人々	7143
すぎる	7142
不	7136
サービス	7133
確保	7132
つながる	7131
最	7125
減	7107
やすい	7106
とか	7102
リーグ	7097
都内	7097
一郎	7094
大幅	7089
対立	7088
スポーツ	7087
地区	7083
現場	7069
ビル	7067
禁止	7066
論議	7066
こう	7065
現地	7065
左	7058
現	7053
はじめ	7052
時事	7049
他の	7045
取り組む	7043
目立つ	7040
自民	7035
外国人	7028
疑い	7027
多	7018
省	7015
迫る	7012
向け	7011
現実	7011
